#######################################
filename, sn name, jd, wmin, wmax, flag
1989B_19890131_MMT.fits,1989B,2447557.803,3200.0,6399.0,2
1989B_19890201_till.fits,1989B,2447558.939,4545.04,7065.25,2
1989B_19890202.fits,1989B,2447559.53,4800.0,6433.0,1
1989B_19890203.fits,1989B,2447560.5,3932.0,6797.0,1
1989B_19890203_till.fits,1989B,2447561.05,3187.74,7635.11,1
1989B_19890204a_ctio.fits,1989B,2447561.8,3640.0,4863.0,1
1989B_19890204b_ctio.fits,1989B,2447561.792,6385.0,8811.75,1
1989B_19890204_kpno.fits,1989B,2447561.5,3615.0,7405.0,1
1989B_19890205_ctio.fits,1989B,2447562.819,3640.0,4864.09,1
1989B_19890206_ctio.fits,1989B,2447563.85,3133.0,10874.8,1
1989B_19890206.fits,1989B,2447563.63,3762.0,7746.0,1
1989B_19890207_kpno.fits,1989B,2447564.5,3670.0,7405.0,1
1989B_19890207_mcd.fits,1989B,2447564.5,3536.56,6576.63,1
1989B_19890208_mcd.fits,1989B,2447565.5,3533.0,6584.25,1
1989B_19890209_mcd.fits,1989B,2447566.5,3532.4,6576.61,1
1989B_19890210_ctio.fits,1989B,2447567.808,3450.0,6977.5,1
1989B_19890212_ctio.fits,1989B,2447569.781,3487.6,7000.85,1
1989B_19890212.fits,1989B,2447569.5,3880.4,6797.0,1
1989B_19890214_ctio.fits,1989B,2447571.789,3506.95,7017.5,1
1989B_19890214_till.fits,1989B,2447571.91,4545.04,7065.25,1
1989B_19890215_lick.fits,1989B,2447572.948,4105.0,8455.0,1
1989B_19890216_ctio.fits,1989B,2447573.8,3450.0,6977.5,1
1989B_19890217.fits,1989B,2447574.5,3853.0,6797.0,1
1989B_19890218_ctio.fits,1989B,2447575.792,3450.0,6997.5,1
1989B_19890219_ctio.fits,1989B,2447576.771,3505.0,6997.5,1
1989B_19890220_ctio.fits,1989B,2447577.76,3460.0,6997.5,1
1989B_19890221_ctio.fits,1989B,2447578.75,3520.0,6997.5,1
1989B_19890221_lick.fits,1989B,2447578.91,4305.0,8505.0,1
1989B_19890223_ctio.fits,1989B,2447580.72,3570.0,6997.5,1
1989B_19890224_ctio.fits,1989B,2447581.708,3460.0,6997.5,1
1989B_19890225_ctio.fits,1989B,2447582.72,3460.0,6997.5,1
1989B_19890226_ctio.fits,1989B,2447583.75,3500.0,6997.5,1
1989B_19890227_ctio.fits,1989B,2447584.75,3470.0,6967.5,1
1989B_19890227.fits,1989B,2447585.49,3873.45,6797.0,1
1989B_19890228_ctio.fits,1989B,2447585.708,3450.0,6997.5,1
1989B_19890228.fits,1989B,2447586.497,4360.0,6797.0,1
1989B_19890301_ctio.fits,1989B,2447586.713,3450.0,6920.6,1
1989B_19890301_till.fits,1989B,2447586.91,3187.74,7245.16,1
1989B_19890302_ctio.fits,1989B,2447587.73,3480.0,6997.5,1
1989B_19890302_till.fits,1989B,2447587.83,4510.73,6965.43,1
1989B_19890303_ctio.fits,1989B,2447588.74,3450.0,6977.5,1
1989B_19890304_ctio.fits,1989B,2447589.767,3570.0,6997.5,1
1989B_19890307_mcd.fits,1989B,2447592.5,3300.0,5994.0,1
1989B_19890308_till.fits,1989B,2447593.81,4510.73,6965.43,1
1989B_19890309_mcd.fits,1989B,2447594.5,3300.0,5994.0,1
1989B_19890310_ctio.fits,1989B,2447595.73,3575.0,7092.5,1
1989B_19890310.fits,1989B,2447596.49,5018.0,6611.0,1
1989B_19890310_mcd.fits,1989B,2447595.5,4500.0,7194.0,1
1989B_19890313_till.fits,1989B,2447598.781,4510.73,7031.7,1
1989B_19890316_ctio.fits,1989B,2447601.691,3575.0,7092.5,1
1989B_19890328_ctio.fits,1989B,2447601.62,3630.0,7147.5,1
1989B_19890329.fits,1989B,2447615.42,3762.0,7746.0,1
1989B_19890329_lick.fits,1989B,2447614.969,3120.0,9995.0,1
1989B_19890330.fits,1989B,2447616.4,4761.0,6777.0,1
1989B_19890330_MMT.fits,1989B,2447615.863,3878.0,8973.22,1
1989B_19890405_till.fits,1989B,2447621.931,3187.74,7436.5,1
1989B_19890411_till.fits,1989B,2447627.73,4545.04,7065.25,1
1989B_19890415_lick.fits,1989B,2447631.59,4405.0,8305.0,1
1989B_19890428_lick.fits,1989B,2447644.5,3205.0,9165.0,1
1989B_19890501_till.fits,1989B,2447616.4,4545.04,7065.25,1
1989B_19890509_ctio.fits,1989B,2447655.57,3047.71,9928.39,1
1989B_19890510_MMT.fits,1989B,2447656.921,5024.16,7749.13,1
1989B_19890530_ctio.fits,1989B,2447676.56,3400.0,7000.03,2
1989B_19890710_lick.fits,1989B,2447717.729,3545.0,6235.0,1
1989B_19900104_ctio.fits,1989B,2447895.779,3560.0,6506.7,1
1989B_19900120_lick.fits,1989B,2447911.969,3955.0,7005.0,2
1990aa_19900912b.fits,1990aa,2448146.5,4167.0,8460.0,1
1990aa_19900927.fits,1990aa,2448162.0,3900.0,9850.0,1
1990aa_19901010b.fits,1990aa,2448175.0,4750.0,9082.0,1
1990aa_19901020a.fits,1990aa,2448185.0,3900.0,7020.0,1
1990aa_19901027.fits,1990aa,2448191.5,4800.0,9200.0,3
1990aa_19901128.fits,1990aa,2448224.0,3446.0,9926.0,1
1990aa_19910123a.fits,1990aa,2448280.0,3900.0,9800.0,1
1990aj_19900220.fits,1990aj,2448307.566,3885.86,9960.0,1
1990aj_19910129.fits,1990aj,2448285.5,3719.11,9111.0,1
1990aj_19910310.fits,1990aj,2448326.0,5800.0,8950.0,1
1990B_19900123a.fits,1990B,2447915.0,4200.0,8200.0,1
1990B_19900123.fits,1990B,2447915.0,4200.0,8200.0,1
1990B_19900204.fits,1990B,2447926.542,3961.79,8015.0,1
1990B_19900211.fits,1990B,2447934.0,3420.0,9800.0,1
1990B_19900216.fits,1990B,2447938.833,3806.95,8685.6,1
1990B_19900217.fits,1990B,2447939.542,4009.93,7788.0,1
1990B_19900220.fits,1990B,2447942.563,3923.0,8259.0,1
1990B_19900227.fits,1990B,2447950.0,4200.0,8200.0,1
1990B_19900301.fits,1990B,2447952.458,3623.0,7924.0,1
1990B_19900308f.fits,1990B,2447958.802,3528.0,9950.0,1
1990B_19900325.fits,1990B,2447976.0,3948.0,9800.0,1
1990B_19900401.fits,1990B,2447983.0,3948.0,9800.0,1
1990B_19900418.fits,1990B,2447999.667,3964.76,10030.0,1
1990B_19900430a.fits,1990B,2448012.0,3930.0,9800.0,1
1990B_19900430.fits,1990B,2448012.0,4094.29,9800.0,1
1990B_19900615.fits,1990B,2448058.0,6720.0,9256.58,1
1990I_19900429.fits,1990I,2448010.5,5430.0,9215.0,1
1990I_19900509.fits,1990I,2448021.458,3853.1,11797.0,1
1990I_19900518a.fits,1990I,2448029.542,3307.2,7721.15,1
1990I_19900518b.fits,1990I,2448029.757,4550.0,7210.0,1
1990I_19900528.fits,1990I,2448039.667,5800.0,11795.0,1
1990I_19900607.fits,1990I,2448050.49,3211.91,7729.46,1
1990I_19900608a.fits,1990I,2448051.49,6077.26,9785.36,1
1990I_19900608b.fits,1990I,2448051.49,3603.47,9802.98,1
1990I_19900619a.fits,1990I,2448061.51,3450.12,7738.05,1
1990I_19900619b.fits,1990I,2448061.677,6265.51,9789.08,1
1990I_19900619c.fits,1990I,2448061.594,3424.81,9249.13,1
1990I_19900703.fits,1990I,2448075.531,3325.06,7707.19,1
1990I_19900725.fits,1990I,2448097.531,6285.0,9585.0,1
1990I_19900726a.fits,1990I,2448099.49,3442.68,6565.0,1
1990I_19900726b.fits,1990I,2448098.99,3468.98,9585.0,1
1990I_19900726c.fits,1990I,2448098.573,3941.44,9541.44,1
1990I_19900726.fits,1990I,2448098.573,3941.44,9541.44,1
1990I_19901221.fits,1990I,2448246.833,3775.93,7059.0,1
1990I_19910111.fits,1990I,2448267.833,3910.92,7098.0,1
1990I_19910220a.fits,1990I,2448307.724,3879.16,7060.0,1
1990I_19910220b.fits,1990I,2448307.757,5760.0,9285.36,1
1990I_19910220c.fits,1990I,2448307.74,4038.71,9152.36,1
1990I_19910220d.fits,1990I,2448307.74,4345.91,10078.0,1
1990I_19910421.fits,1990I,2448368.083,4107.69,9284.86,1
1990N_19900626.fits,1990N,2448068.698,3200.0,8386.42,1
1990N_19900628.fits,1990N,2448070.5,3800.0,8049.0,3
1990N_19900703.fits,1990N,2448075.5,3092.8,7723.88,1
1990N_19900712.fits,1990N,2448084.5,3750.0,8049.0,1
1990N_19900717.fits,1990N,2448089.5,3915.0,9880.0,1
1990N_19910313.fits,1990N,2448328.5,4144.73,9085.51,1
1990U_19900730.fits,1990U,2448103.0,3120.0,7500.0,1
1990U_19900731a.fits,1990U,2448104.0,3120.0,9850.0,1
1990U_19900731.fits,1990U,2448104.0,3900.0,9850.0,1
1990U_19900801b.fits,1990U,2448104.5,3728.29,7081.0,1
1990U_19900810.fits,1990U,2448113.757,4151.36,6809.0,1
1990U_19900822.fits,1990U,2448126.0,3880.0,7950.0,1
1990U_19900829.fits,1990U,2448133.0,3900.0,9850.0,1
1990U_19900912b.fits,1990U,2448147.0,4185.0,8450.0,1
1990U_19900927.fits,1990U,2448162.0,3900.0,9850.0,1
1990U_19901011.fits,1990U,2448175.5,4580.65,9095.0,1
1990U_19901017.fits,1990U,2448181.625,3929.03,6934.0,1
1990U_19901020.fits,1990U,2448185.0,3900.0,9850.0,1
1990U_19901021b.fits,1990U,2448190.5,3901.24,10084.0,1
1990U_19901026.fits,1990U,2448190.654,5767.0,10084.0,1
1990U_19901111.fits,1990U,2448207.0,4455.58,9800.0,1
1990U_19901123c.fits,1990U,2448218.549,3694.79,10106.92,1
1990U_19901129.fits,1990U,2448225.0,3446.0,9926.0,2
1990U_19901212.fits,1990U,2448238.0,5800.0,8900.0,1
1990U_19901220b.fits,1990U,2448245.5,3815.63,7077.0,1
1990U_19910106.fits,1990U,2448263.0,5800.0,8980.0,1
1990U_19910804.fits,1990U,2448473.0,5940.0,9060.0,3
1991bg_19911214.fits,1991bg,2448604.667,3640.0,9282.0,1
1991bg_19911215a.fits,1991bg,2448605.85,3890.56,8410.0,1
1991bg_19911215b.fits,1991bg,2448605.601,4017.0,9200.0,1
1991bg_19911229.fits,1991bg,2448619.57,4170.0,8460.0,1
1991bg_19911231.fits,1991bg,2448621.83,4170.0,9920.0,1
1991bg_19920102.fits,1991bg,2448623.83,4166.67,7877.96,1
1991bg_19920114.fits,1991bg,2448636.0,3828.96,11238.0,1
1991bg_19920116.fits,1991bg,2448637.667,4160.0,7950.0,1
1991bg_19920128.fits,1991bg,2448649.559,3550.0,9040.0,1
1991bg_19920201.fits,1991bg,2448653.833,3470.0,7120.0,1
1991bg_19920204.fits,1991bg,2448656.771,3550.0,9200.0,1
1991bg_19920213.fits,1991bg,2448665.56,4140.69,8412.66,1
1991bg_19920225.fits,1991bg,2448677.667,5400.0,6500.0,1
1991bg_19920301.fits,1991bg,2448682.792,4465.0,8424.0,1
1991bg_19920310.fits,1991bg,2448691.5,4160.0,10050.0,1
1991bg_19920408.fits,1991bg,2448720.708,3405.0,9111.0,1
1991bg_19920504.fits,1991bg,2448746.6,3732.0,6908.0,1
1991bg_19920703.fits,1991bg,2448806.521,3732.0,6908.0,1
1991D_19910207.fits,1991D,2448295.0,7117.62,9774.0,1
1991D_19910211.fits,1991D,2448298.5,4355.09,8090.0,1
1991D_19910220a.fits,1991D,2448307.5,3895.04,7059.51,1
1991D_19910220b.fits,1991D,2448307.5,5760.0,9437.22,1
1991D_19910223.fits,1991D,2448311.0,3997.02,9610.92,1
1991D_19910309.fits,1991D,2448325.0,4133.25,7020.0,1
1991D_19910320a.fits,1991D,2448335.5,4177.67,9320.0,1
1991D_19910320b.fits,1991D,2448335.5,3930.0,9320.0,1
1991D_19910321a.fits,1991D,2448336.5,3920.0,9320.0,1
1991D_19910321b.fits,1991D,2448336.5,3920.0,9320.0,1
1991D_19910321c.fits,1991D,2448336.5,3920.0,9320.0,1
1991D_19910321d.fits,1991D,2448336.5,4066.5,9320.0,1
1991D_19910417.fits,1991D,0.0,5527.59,8167.33,1
1991D_19910421.fits,1991D,2448367.74,3712.41,7048.79,1
1991M_19910320.fits,1991M,2448335.5,3930.0,9320.0,1
1991M_19910321.fits,1991M,2448336.5,3920.0,9320.0,1
1991M_19910417.fits,1991M,2448363.5,3350.0,7820.0,1
1991M_19910418.fits,1991M,2448364.5,4170.0,8150.0,1
1991M_19910420.fits,1991M,2448366.5,3510.0,10030.0,1
1991M_19910805.fits,1991M,2448473.5,3860.0,10035.0,1
1991M_19910813.fits,1991M,2448481.5,4500.0,8475.0,1
1991T_19910416.fits,1991T,2448362.5,3450.0,8680.0,1
1991T_19910417.fits,1991T,2448363.649,3300.0,8150.0,1
