1998S 	        50869.2 0.05  50889.2 0.05 50869.2 0.02 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05 50869.2 0.05
 IIn               9999 .00  9999  .00     12.2  .00 9999  .00   9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0 9999 .0
 fit=                                               
 ????          ABg= 0.86 .00 ABi= 0.09 .00  mu= 31.18 0.0 (none)         
UBVRIJHKLM _______________________________________________________________________________________
 Date       JD     U          B          V         R           I      J          H       K        L     M      S note
 07/5/98   50941.04    9999 0   15.00 0	      13.84 0	    13.36 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 20/5/98   50954.06    9999 0   15.61 0	       9999 0	    13.83 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 25/5/98   50959.04    9999 0    9999 0	      14.76 0	    14.21 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 28/5/98   50962.02    9999 0    9999 0	      14.74 0	     9999 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 29/5/98   50963.06    9999 0   16.24 0	      14.88 0	    14.33 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 05/6/98   50970.04    9999 0    9999 0	      14.96 0	    14.39 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 18/6/98   50983.05    9999 0    9999 0	       9999 0	    14.60 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
# 02/7/98   50997.03    9999 0    9999 0	      15.39 0	    14.79 0	 9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   9	Liu et al,00
 ??        50886.5     9999 0    9999 0        9999 0       12.34 0.13   9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al,00
 ??        50888.6     9999 0    9999 0        9999 0       12.18 0.09   9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al,00
 ??        50890.9     9999 0   12.40 0.15    12.17 0.05    12.12 0.10   9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al,00
 ??        50891.9     9999 0   12.46 0.1     12.28 0.1     12.34 0.13   9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50898.6     9999 0   12.66 0.03    12.41 0.01    12.26 0.008  12.17 0.05   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50903.5     9999 0   12.87 0.03    12.58 0.007   12.38 0.008  12.14 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50904.5     9999 0   13.10 0.03    12.63 0.015   12.41 0.01   12.16 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50907.8     9999 0   13.17 0.04    12.81 0.04    12.48 0.03   9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50908.4     9999 0   13.23 0.03    12.78 0.015   12.50 0.015  12.25 0.015  9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50909.4     9999 0   13.26 0.03    12.81 0.01    12.55 0.01   12.27 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50911.4     9999 0   13.43 0.04    12.93 0.01    12.64 0.008  12.29 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50913.5     9999 0    9999 0       13.00 0.01    12.68 0.007  9999  0      9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50915.5     9999 0   13.60 0.03    13.10 0.05    12.75 0.12   12.42 0.09   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50917.5     9999 0   13.73 0.045   13.14 0.007   12.79 0.01   12.49 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50923.5     9999 0   14.03 0.035   13.39 0.007   12.99 0.008  12.67 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50927.4     9999 0   14.21 0.05    13.54 0.01    13.11 0.016  12.80 0.012  9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50931.5     9999 0   14.38 0.03    13.65 0.012   13.22 0.008  12.88 0.011  9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50939.5     9999 0   14.72 0.03    13.94 0.014   13.42 0.01   13.04 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50947.5     9999 0   15.15 0.047   14.38 0.008   13.76 0.008  13.36 0.008  9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50949.5     9999 0   15.30 0.038   14.56 0.011   13.93 0.01   13.53 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
 ??        50951.5     9999 0   15.46 0.03    14.78 0.01    14.11 0.01   13.71 0.01   9999 0      9999 0      9999 0     9999 0      9999 0   1 Fassia et al.
