 1994D           49430.5  0. 49432.5 0. 49434.5 0. 49434.5 0.  49428.5 0.
 Ia               11.30 .00 11.84 .00   11.90 .00  11.86 .00   12.15 .00   
 fit=     -0.54  0.02 0 0            
 NGC4526   ABg= 0.  .00 ABi= 0. .00  mu= 30.92 .00  (SBF Patat, altri 30.86)
UBVRI ___________________________________________________________________
 Date       JD     U          B          V         R           I            S note
18/3/94  49429.70  9999 .00  9999 .00  9999 .00 11.89 .00  9999  .00   4
25/3/94  49436.70  9999 .00  9999 .00 11.93 .00 11.96 .00 12.241 .00   4
26/3/94  49437.70  9999 .00  9999 .00 11.98 .00 12.04 .00 12.424 .00   4
27/3/94  49438.70  9999 .00  9999 .00  9999 .00  9999 .00  9999  .00   4
28/3/94  49439.70  9999 .00  9999 .00 12.12 .00 12.18 .00 12.531 .00   4
29/3/94  49440.70  9999 .00  9999 .00 12.20 .00 12.31 .00 12.688 .00   4
31/3/94  49442.70  9999 .00  9999 .00  9999 .00 12.45 .00 12.820 .00   4
01/4/94  49443.70  9999 .00  9999 .00 12.39 .00  9999 .00  9999  .00   4 
02/4/94  49444.70  9999 .00  9999 .00 12.49 .00  9999 .00  9999  .00   4
07/4/94  49449.70  9999 .00  9999 .00 12.73 .00 12.61 .00 12.567 .00   4
09/4/94  49451.70  9999 .00  9999 .00  9999 .00  9999 .00 12.520 .00   4
16/4/94  49458.70  9999 .00  9999 .00  9999 .00 13.07 .00  9999  .00   4
18/4/94  49460.70  9999 .00  9999 .00  9999 .00 13.22 .00  9999  .00   4
30/4/94  49472.70  9999 .00  9999 .00  9999 .00  9999 .00  9999  .00   4
01/5/94  49473.70  9999 .00  9999 .00  9999 .00 13.88 .00 13.840 .00   4
#27/5/94  49499.70  9999 .00  9999 .00 14.81 .00  9999 .00  9999  .00   4 #da tab. ALICE
27/5/94  49499.70  9999 .00  9999 .00 14.87 .00  9999 .00  9999  .00   4  # da paper Patat et al.
09/3/94  49420.90  9999 .00 14.23 .00 14.02 .00 13.95 .00  9999  .00   5 50cm
11/3/94  49422.83  9999 .00 13.29 .00 13.24 .00 13.12 .00 13.16  .00   5 50cm
12/3/94  49423.90 11.92 .00 12.89 .00 12.89 .00 12.75 .00 12.81  .00   5 50cm
13/3/94  49424.89 11.76 .00 12.61 .00 12.62 .00 12.50 .00 12.58  .00   5 50cm
15/3/94  49426.90 11.64 .00 12.26 .00 12.27 .00 12.19 .00 12.26  .00   5 50cm
#19/3/94  49430.89 10.96 .00 11.91 .00 11.91 .00 11.94 .00 12.12  .00   5 50cm
#20/3/94  49431.85 10.99 .00 11.88 .00 11.90 .00 11.93 .00 12.20  .00   5 50cm
21/3/94  49432.98  9999 .00 11.94 .00 11.92 .00 11.95 .00 12.24  .00   5 50cm
22/3/94  49433.90 11.20 .00 11.92 .00 11.92 .00 11.93 .00 12.25  .00   5 50cm
26/3/94  49437.97 11.83 .00 12.13 .00 12.02 .00 12.11 .00 12.46  .00   5 50cm
28/3/94  49439.92 11.88 .00 12.30 .00 12.14 .00 12.29 .00 12.64  .00   5 50cm
31/3/94  49442.84 12.34 .00 12.60 .00 12.37 .00 12.55 .00 12.77  .00   5 50cm
01/4/94  49443.83 12.41 .00 12.76 .00 12.46 .00 12.59 .00 12.78  .00   5 50cm
02/4/94  49444.83 12.57 .00 12.88 .00 12.49 .00 12.65 .00 12.77  .00   5 50cm
04/4/94  49446.81 13.17 .00 13.17 .00 12.65 .00 12.68 .00 12.73  .00   5 50cm
05/4/94  49447.95 13.29 .00 13.31 .00 12.68 .00 12.70 .00 12.68  .00   5 50cm
07/4/94  49449.77 13.51 .00 13.63 .00 12.80 .00 12.70 .00 12.63  .00   5 50cm
08/4/94  49450.96  9999 .00 13.80 .00 12.85 .00 12.71 .00 12.57  .00   5 50cm
11/4/94  49453.79  9999 .00 14.17 .00 13.11 .00 12.81 .00 12.57  .00   5 50cm
12/4/94  49454.76 14.47 .00 14.26 .00 13.18 .00 12.83 .00 12.58  .00   5 50cm
18/4/94  49460.73  9999 .00 14.81 .00 13.63 .00 13.28 .00 12.90  .00   5 50cm
19/4/94  49461.75  9999 .00 14.83 .00 13.66 .00 13.37 .00 13.00  .00   5 50cm
20/4/94  49462.74  9999 .00 14.83 .00 13.73 .00 13.43 .00 13.06  .00   5 50cm
22/4/94  49464.76 14.72 .00 14.92 .00 13.82 .00 13.56 .00 13.20  .00   5 50cm
27/4/94  49469.85 14.90 .00 15.11 .00 13.99 .00 13.80 .00 13.50  .00   5 50cm
28/4/94  49470.88 14.57 .00 15.12 .00 14.07 .00 13.83 .00 13.58  .00   5 50cm
29/4/94  49471.87  9999 .00 15.22 .00 14.05 .00 13.86 .00 13.63  .00   5 50cm
30/4/94  49472.81  9999 .00 15.14 .00 14.13 .00 13.93 .00 13.74  .00   5 50cm
02/5/94  49474.72  9999 .00 15.21 .00 14.19 .00 14.02 .00 13.80  .00   5 50cm
06/5/94  49478.83  9999 .00 15.37 .00 14.30 .00 14.15 .00 14.05  .00   5 50cm
08/5/94  49480.68  9999 .00 15.38 .00 14.40 .00 14.26 .00 14.19  .00   5 50cm
09/5/94  49481.5   9999 .00  9999 .00 14.48 .08  9999 .00 14.19  .08   6 HST: F555W,F814W   
14/5/94  49486.70  9999 .00 15.49 .00 14.55 .00 14.50 .00 14.52  .00   5 50cm
23/5/94  49495.77  9999 .00 15.62 .00 14.87 .00 14.77 .00 14.94  .00   5 50cm
30/5/94  49502.73  9999 .00 15.79 .00 15.03 .00 15.04 .00 15.28  .00   5 50cm
01/6/94  49504.77  9999 .00 15.83 .00 15.12 .00 15.10 .00 15.41  .00   5 50cm
04/6/94  49507.72  9999 .00 15.83 .00 15.21 .00 15.17 .00 15.48  .00   5 50cm
