2010jl	        IIn    # modified for SUDARE
UGC5189A      ABg= 0.11 .00 ABi= 0.0 .00  mu= 33.43 0.15   
_______________________________________________________________________________
UBVRI  JD_max             55488.0  0  55488.0  0    55488.0  0   55488 .0    55488  0
       m_max             13.7   0     13.8   0       13.7   0       13.7   0  13.7 0 
 Date        JD            U            B           V               R           I         S notes
xxxxx       55478.     9999  .0      30.   .0     30.   .1       30.  .1       9999  .0     111
xxxxx       55479.14   9999  .0      14.24  .0    9999 .1      13.90  .1       9999  .0     111
#
 129.86     55608.86 9999  0.0   9999    0    14.75  0.03   14.02  0.02   14.44  0.03  3  FLWO   KeplerCam  
 136.95     55615.95 9999  0.0   9999    0    14.79  0.03   14.00  0.02   14.45  0.03  3  FLWO   KeplerCam  
 144.65     55623.65 9999  0.0  15.13  0.03   14.81  0.03   14.00  0.02   14.51  0.03  3 FLWO   KeplerCam  
 149.78     55628.78 9999  0.0  15.12  0.03   14.83  0.03   14.02  0.02   14.53  0.03  3 FLWO   KeplerCam  
 152.66     55631.66 9999  0.0  15.14  0.03   14.84  0.03    9999    0    14.56  0.03  3 FLWO   KeplerCam  
 168.73     55647.73 9999  0.0  15.17  0.03   14.90  0.03   14.02  0.02   14.55  0.03  3 FLWO   KeplerCam  
 188.74     55667.74 9999  0.0   9999   0     14.96  0.03   14.02  0.02   14.63  0.03  3 FLWO   KeplerCam  
 189.81     55668.81 9999  0.0   9999   0     14.98  0.03   14.03  0.02   14.69  0.03  3 FLWO   KeplerCam  
 190.74     55669.74 9999  0.0   9999   0     14.97  0.03   14.03  0.02   14.69  0.03  3 FLWO   KeplerCam  
 194.70     55673.70 9999  0.0  15.21  0.03   14.97  0.03   14.03  0.02   14.69  0.03  3 FLWO   KeplerCam  
 203.68     55682.68 9999  0.0  15.23  0.03   15.00  0.03   14.04  0.02   14.69  0.03  3 FLWO   KeplerCam  
 207.68     55686.68 9999  0.0  15.22  0.03    9999    0    14.04  0.02   14.72  0.03  3 FLWO   KeplerCam  
 209.67     55688.67 9999  0.0  15.24  0.03   14.98  0.03   14.03  0.02   14.73  0.03  3 FLWO   KeplerCam  
 212.70     55691.70 9999  0.0  15.21  0.03   15.02  0.03   14.02  0.02   14.72  0.03  3 FLWO   KeplerCam  
 217.63     55696.63 9999  0.0   9999   0     15.01  0.03   14.04  0.02   14.76  0.03  3 FLWO   KeplerCam  
 219.67     55698.67 9999  0.0   9999   0     15.04  0.03   14.04  0.02   14.74  0.03  3 FLWO   KeplerCam  
 225.68     55704.68 9999  0.0   9999   0     15.01  0.03   14.04  0.02   14.76  0.03  3 FLWO   KeplerCam  
 238.68     55717.68 9999  0.0  15.27  0.03   15.05  0.03   14.04  0.02   14.78  0.03  3 FLWO   KeplerCam  
# 376.99     55855.99 9999  0.0  16.38  0.03    9999   0     14.05  0.02   14.83  0.03  3 FLWO   KeplerCam  
 387.97     55866.97 9999  0.0  16.39  0.03   16.15  0.03   14.72  0.02   15.72  0.03  3 FLWO   KeplerCam  
 409.01     55888.01 9999  0.0  16.71  0.03   16.40  0.03   14.79  0.02   15.79  0.03  3 FLWO   KeplerCam  
 409.98     55888.98 9999  0.0  16.70  0.03   16.43  0.03   15.01  0.02   15.98  0.03  3 FLWO   KeplerCam  
 437.98     55916.98 9999  0.0  17.08  0.03   16.77  0.03   15.02  0.02   15.98  0.03  3 FLWO   KeplerCam  
 439.82     55918.82 9999  0.0  17.20  0.03   16.82  0.03   15.25  0.02   16.27  0.03  3 FLWO   KeplerCam  
 469.84     55948.84 9999  0.0  17.47  0.03   17.06  0.03   15.29  0.02   16.27  0.03  3 FLWO   KeplerCam  
 473.80     55952.80 9999  0.0  17.41  0.03   17.03  0.03   15.52  0.02   16.52  0.03  3 FLWO   KeplerCam  
 493.87     55972.87 9999  0.0  17.54  0.03   17.33  0.03   15.50  0.02   16.57  0.03  3 FLWO   KeplerCam  
 499.77     55978.77 9999  0.0  17.62  0.03   17.26  0.03   15.62  0.02   16.73  0.03  3 FLWO   KeplerCam  
 530.73     56009.73 9999  0.0  17.80  0.03   17.62  0.03   15.65  0.02   16.71  0.03  3 FLWO   KeplerCam  
 558.66     56037.66 9999  0.0  18.16  0.03   17.83  0.03   15.81  0.02   16.97  0.03  3 FLWO   KeplerCam  
 561.65     56040.65 9999  0.0  18.01  0.03   17.84  0.03   15.95  0.02   17.23  0.03  3 FLWO   KeplerCam  
 581.63     56060.63 9999  0.0  18.36  0.03   17.89  0.03   16.06  0.02   17.33  0.03  3 FLWO   KeplerCam  
 586.63     56065.63 9999  0.0  18.29  0.03   18.02  0.03   16.12  0.02   17.48  0.03  3 FLWO   KeplerCam  
 762.73     56241.73 9999  0.0  19.43  0.03   19.19  0.03   17.04  0.02   18.76  0.03  3 NOT   ALFOSC  
 769.83     56248.83 9999  0.0  19.61  0.03   19.31  0.03   17.10  0.02   18.52  0.03  3 MAG   IMACS  
 848.54     56327.54 9999  0.0  19.91  0.03   19.73  0.03   17.59  0.02    9999    0   3 NOT   ALFOSC  
 917.48     56396.48 9999  0.0  20.43  0.03   20.40  0.03   18.19  0.02   20.14  0.03  3 NOT   ALFOSC  
#
## 1 Zhang etal. 2012, 2 Stoll etal 2011 3 Fransso etal...
