1992A           48640.5 .0 48643.0 0  48642.0 0  48638. 0  
 Ia                12.5  .00 12.56  .00 12.55  .00 12.56 .00 12.70  .00 
 fit=  0.10 0.02 0 -0.02     
 NGC1380  ABg= 0.00 .00 ABi= 0.0001 .00  mu= 31.14 0.0
BVRI  ___________________________________________________________________________________
  Date      JD         B          V          R           I          S     notes
xxxxxxx  48623.   30.0   00.   30.0  0.0   30.0  0.00   30. 0.000   111
xxxxxxx  48815.       17.78     0.      17.82     0.      18.22     0       9999     0       111
#
23dec92  48979.70    19.948    0.014   20.307    0.014    9999     0.000   20.375    0.033   1
22feb93  49040.60    20.710    0.026   21.085    0.028    9999     0.000   20.706    0.085   1
17mar93  49063.50    21.262    0.084   21.204    0.099    9999     0.000    9999     0.000   1
27mar93  49073.50    21.463    0.123   21.389    0.167    9999     0.000    9999     0.000   1
01apr93  49078.50    20.890    0.209   21.415    0.229    9999     0.000    9999     0.000   1
14/01/92 48635.06    12.84      .00    12.81      .00    12.76      .00     9999      .00    0 NTT NoStd
15/01/92 48636.06    12.86      .00    12.79      .00    12.746     .00     9999      .00    0 NTT NoStd
16/01/92 48637.03    12.75      .00    12.73      .00     9999      .00     9999      .00    0 NTT NoStd  *
17/01/92 48638.03    12.68      .00    12.69      .00     9999      .00     9999      .00    0 NTT NoStd  *
18/01/92 48639.03    12.62      .00    12.66      .00    12.70      .00     9999      .00    0 NTT NoStd  *
04/02/92 48656.57    14.17      .00    13.43      .00    13.32      .00     9999      .00    0 ESO 3.6      
11/03/92 48692.03    16.03      .00    15.19      .00    15.10      .00     9999      .00    0 ESO 3.6      
26/07/92 48829.92    17.94      .00    18.24      .00    18.53      .00     9999      .00    0 ESO 2.2      
01/09/92 48867.8     18.43      .00    18.61      .00    19.15      .00    18.90      .00    0 ESO 3.6      
#29/09/92 48894.5     9999      .00    19.68      .00     9999      .00     9999      .00    0 Dutch  (molto mossa)  
30/09/92 48895.4      9999      .00     9999      .00    20.00      .00     9999      .00    0 Dutch      *  
23/10/92 48918.74    18.94      .00    19.60      .00    20.18      .00    19.69      .00    0 ESO 2.2    *(I?)    
29/11/92 48956.70    19.69      .00    19.98      .00    20.66      .00    20.09      .00    0 ESO 3.6    *
 2/12/92 48958.63     9999      .00    20.08      .00     9999      .00     9999      .00    0 NTT        *
22/12/92 48979.64    19.99      .00    20.29      .00    20.76      .00    20.16      .00    0 ESO 3.6     
24/01/93 49011.55    20.43      .00    20.68      .00    21.28      .00    20.54      .00    0 ESO 3.6          
24/01/93 49011.55     9999      .00    20.76      .00    21.15      .00     9999      .00    0 ESO 3.6          
27/02/93 49045.54    20.74      .00    21.23      .00    9999       .00    21.10      .00    0 ESO 2.2     
27/02/93 49045.54    9999       .00    9999       .00    22.17      .00     9999      .00    3 ESO 2.2     
28/02/93 49046.50     9999      .00    21.22      .00     9999      .00     9999      .00    0 ESO 2.2     
27/03/93 49073.54    21.41      .01    21.49      .00    21.82      .00     9999      .00    0 NTT     
07/07/93 49175.5     22.5       .00     9999      .00     9999      .00     9999      .00   -2 uplimit Danish *
 2/08/94 49566.50     9999      .00    25.9       .30     9999      .00     9999      .00    0 HST WFPC2          *
 4/09/96 50331.12     9999      .00    27.0       .30     9999      .00     9999      .00   -2 uplimit HST WFPC2    *
#_____________________________________________________
# 1=Suntzeff, IAU Coll. n. 145 - data provided by NP&Leibundgut. No U data!!!
# in 1992A.old ci sono i vecchi dati "scanned" di Nando, U band compresa.     
# 0 altavilla et al 2004
# 3 unpublished perche' non torna
#  B=23.24 for the galaxy nearby the SN - 14/01/94  ESO 3.6 (KP)                           
# * corrected to local standards                    
# Galactic Extinction (Schlegel et al.):   A_B = 0.076 mag;
# nel file vecchio c'era:  fit=  48640.5 .0  9999  .00 12.56  .00
# APas 30/6/2003   
