 1991T  Iapec
 NGC4527  ABg= 0.02 .00  ABi= 0.55 .00 mu= 30.74 .00  (xx) xxx
_________________________________________________________________________________
UBVRI  JD_MAX   48375.0 .0    48375.32 .0   48377.8 .0  48377  .0   48376  .0
	m_max   9999  .00    11.66  .00     11.51  .00  11.46   .00   11.67  .00     
  Date       JD       U           B           V           R           I        Source  note
 xxxxxxx  48355.    9999  .0   30.0   .0   30.0   .0   30.0   .0    9999  .0  111           # hard limit
 xxxx  48550.    9999  .00  16.44  .0   16.30  .0   16.52  .00   9999  .0     111    # hard limit
#
#    0    48367.77 11.09  .00  11.76  .00  11.70  .00   9999  .00   9999  .00    4 IAUC5270
    0    48382.77 11.78  .00  11.98  .00  11.61  .00   9999  .00   9999  .00    4 IAUC5273
    0    48439.83  9999  .00  14.91  .00  14.03  .00   9999  .00   9999  .00    4 IAUC5309
    0    48440.87  9999  .00  14.92  .00  14.00  .00   9999  .00   9999  .00    4 IAUC5309
    0    48363.77  9999  .00  12.712 .016 12.618 .016 12.526 .015  9999  .00    2 xx
    0    48364.76  9999  .00  12.449 .016 12.362 .016 12.299 .015  9999  .00    2 xx
    0    48365.66 11.610 .026 12.362 .016 12.256 .016 12.134 .015 12.215 .017   2 xx
    0    48365.65  9999  .00   9999  .00   9999  .00  12.159 .015  9999  .00    2 xx
    0    48366.67  9999  .00  12.152 .016 12.061 .016 11.971 .015  9999  .00    2 xx
    0    48372.70  9999  .00  11.748 .016  9999  .00  11.533 .015 11.693 .017   2 xx
#    0    48374.64 11.282 .026 11.719 .016 11.573 .016 11.511 .015 11.690 .017   2 xx
#    0    48374.64 11.304 .026 11.707 .016 11.560 .016 11.519 .015 11.694 .017   2 xx
    0    48375.65 11.370 .026 11.715 .016 11.568 .016 11.529 .015 11.689 .017   2 xx
    0    48375.65 11.270 .026 11.720 .016 11.537 .016 11.509 .015 11.676 .017   2 xx
    0    48376.69 11.279 .026 11.696 .016 11.542 .016 11.474 .015  9999  .00    2 xx
    0    48376.69 11.233 .026 11.741 .016 11.527 .016 11.475 .015  9999  .00    2 xx
    0    48376.69  9999  .00   9999  .00   9999  .00   9999  .00  11.690 .017   2 xx
    0    48377.62 11.329 .026 11.694 .016 11.511 .016 11.435 .015 11.664 .017   2 xx
    0    48377.62  9999  .00  11.711 .016 11.482 .016 11.435 .015 11.665 .017   2 xx
    0    48380.70  9999  .00  11.832 .016 11.525 .016 11.466 .015 11.788 .017   2 xx
    0    48380.69  9999  .00   9999  .026 11.529 .016 11.479 .015 11.805 .018   2 xx
    0    48381.60  9999  .00  11.836 .016 11.535 .016 11.518 .015 11.847 .017   2 xx
    0    48381.60  9999  .00  11.857 .016 9999   .00  11.501 .015 11.846 .017   2 xx
    0    48382.67  9999  .00  11.912 .016 11.577 .016 11.565 .015 11.915 .017   2 xx
    0    48382.68  9999  .00  11.919 .016 11.575 .016 11.552 .015 11.917 .017   2 xx
    0    48383.58 11.652 .026 11.959 .016 11.605 .016 11.589 .015 11.966 .017   2 xx
    0    48383.58  9999  .00  11.971 .016 11.583 .016 11.585 .015 11.967 .017   2 xx
    0    48385.63  9999  .00  12.137 .016 11.643 .016 11.730 .015 12.051 .017   2 xx
    0    48385.62  9999  .00   9999  .00   9999  .00  11.729 .015 12.049 .017   2 xx
    0    48386.55  9999  .00  12.248 .016 11.764 .016 11.811 .015 12.087 .017   2 xx
