2004et	IIP
NGC6946 ABg= 1.48 0.0 ABi= 0.03 0.04 mu= 28.85 0.02 jd_expl= 53270.5 (v=4888km/sec,H0=72km/(secMpc))
_____________________________________________________________________________________________________
UBVRI	JD_MAX	 53279.2 2.0    53279.9 2.0    53288.9  2.0     53294.2 2.0    53323.9 2.0           
       m_max	 12.22	  0.0	12.90	0.0    12.58	0.0	12.16	0.0    11.91   0.0
 Date      JD        U   	 B   	      V    	  R           I              S	    Inst
xxxxxxxx  53273.     9999  .0    30.00 0.0    30.0  0.0   30.0  0.0   9999  0.00     111        
#
03122004  53343.09  16.16 0.02   14.54 0.004  13.05 0.003 12.41 0.005 11.92 0.005    9       mis
04122004  53344.07  16.22 0.01   14.56 0.01   13.06 0.02  9999  0.00  11.92 0.03     9       mis
10122004  53349.8   9999  0.00   14.73 0.01   13.14 0.01  12.45 0.01  11.93 0.01     4       xxx
12122004  53352.04  16.54 0.02   14.69 0.004  13.11 0.01  12.44 0.007 11.92 0.01     9       mis 
13122004  53352.7   9999  0.00   14.77 0.01   13.14 0.01  12.47 0.01  9999  0.00     4       xxx
13122004  53353.04  9999  0.00	 14.71 0.005  13.14 0.003 12.48 0.004 9999  0.00     9       mis	
15122004  53354.8   9999  0.00   14.88 0.04   13.17 0.03  12.49 0.03  11.93 0.03     4       xxx
15122004  53355.08  9999  0.00   14.73 0.002  13.15 0.001 12.47 0.002 11.96 0.002    9       mis
16122004  53356.05  16.63 0.03   14.76 0.003  13.15 0.002 12.48 0.004 11.93 0.008    9       mis
18122004  53358.06  9999  0.00   14.80 0.003  13.18 0.002 12.49 0.003 11.98 0.003    9       mis
22122004  53362.05  9999  0.00	 9999  0.00   9999  0.00  12.50 0.01  11.99 0.009    9       mis
29122004  53369.26  9999  0.00   9999  0.00   13.32 0.01  12.56 0.01  12.12 0.01     7	     tsv
02012005  53371.06  9999  0.00   9999  0.00   9999  0.00  9999  0.00  12.10 0.006    9       mis
03012005  53373.8   9999  0.00   15.14 0.04   13.41 0.01  12.69 0.01  12.16 0.01     4       xxx
11012005  53382.17  9999  0.00   15.47 0.01   13.70 0.01  12.82 0.01  9999  0.00     7	     tsv     
14012005  53384.8   9999  0.00   15.68 0.01   13.81 0.01  13.02 0.01  12.37 0.01     4       xxx
18012005  53389.30  9999  0.00	 15.79 0.05   14.09 0.03  13.11 0.02  12.64 0.02     7	     tsv
04022005  53406.17  9999  0.00	 17.34 0.05   15.64 0.03  14.47 0.03  13.86 0.02     7	     tsv
10022005  53412.20  9999  0.00	 17.36 0.09   15.75 0.06  14.56 0.02  13.97 0.02     7	     tsv
03032005  53432.53  9999  0.00	 17.63 0.07   15.93 0.04  14.67 0.03  14.14 0.02     7	     tsv
09032005  53439.2   9999  0.00   17.74 0.02   15.97 0.01  14.89 0.01  14.06 0.01     4       xxx
17032005  53446.58  9999  0.00   17.55 0.06   16.12 0.04  14.81 0.03  14.26 0.03     7	     tsv
18032005  53447.0   9999  0.00   17.75 0.01   16.04 0.01  14.96 0.01  9999  0.00     4       xxx
27032005  53456.53  9999  0.00	 17.77 0.05   16.14 0.03  14.92 0.03  14.39 0.02     7	     tsv
29032005  53458.56  9999  0.00	 17.77 0.08   16.21 0.05  14.92 0.03  14.41 0.02     7	     tsv
08042005  53468.51  9999  0.00	 17.78 0.17   16.24 0.12  14.96 0.05  14.47 0.06     7	     tsv
13042005  53473.51  9999  0.00	 17.87 0.05   16.35 0.03  15.06 0.03  14.53 0.03     7	     tsv
18052005  53509.47  9999  0.00	 17.94 0.07   16.69 0.04  15.46 0.03  14.99 0.03     7	     tsv
