  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
 20091103 55138.54      9999.9 0.000    16.929 0.045    15.726 0.089    15.258 0.019    14.924 0.013   7    prompt
 20091103 55139.33      17.632 0.103    16.937 0.010    15.797 0.008    15.235 0.008    14.906 0.010   4    LT
 20091104 55140.38      17.600 0.035    17.043 0.014    15.874 0.018    15.322 0.029    14.969 0.019   5    NOT
 20091106 55141.52      9999.9 0.000    17.081 0.040    9999.9 0.000    9999.9 0.000    9999.9 0.000   7    prompt
 20091109 55144.56      9999.9 0.000    9999.9 0.000    9999.9 0.000    15.548 0.023    15.120 0.024   7    prompt
 20091111 55147.33      17.969 0.045    17.381 0.014    16.215 0.008    15.586 0.009    15.258 0.011   4    LT
 20091112 55147.54      9999.9 0.000    17.427 0.045    16.220 0.021    15.666 0.017    15.247 0.014   7    prompt
 20091112 55147.54      9999.9 0.000    9999.9 0.000    16.235 0.018    9999.9 0.000    9999.9 0.000   7    prompt1
 20091113 55149.34      18.070 0.070    17.440 0.014    16.274 0.009    15.652 0.007    15.340 0.009   4    LT_sub
 20091113 55149.37      18.050 0.041    17.437 0.014    16.286 0.009    15.780 0.012    15.330 0.013   5    NOT_sub
 20091114 55149.53      9999.9 0.000    9999.9 0.000    16.305 0.029    15.728 0.018    15.303 0.015   7    prompt1
 20091118 55154.41      18.080 0.192    17.584 0.017    16.482 0.015    15.906 0.012    15.397 0.029   3    ca_sub
 20091119 55154.54      9999.  0.000    17.605 0.054    16.502 0.049    15.936 0.066    15.433 0.056   7    prompt1_sub
