 1987A    IIP jd_expl= 46849.8
 LMC    ABg= 0.79 .00 ABi= 0.00 .00 mu= 18.49 .00
____________________________________________________________________________
UBVRI  JD_max  46849.69 .00 46951.69 .00 46849.69 .00  46829.69 .00 46829.69 .00
       m_max        9999 .00  9999 .00  9999 .00   9999 .00  9999 .00
  Date       JD         U        B         V         R         I        S       notes             
  xxxxx    46849.      .00 .00  30.  .00  30.  .00  30.  .00  9999 .00  111      
#
   114.    46914.23   9999 .00  4.71 .00  3.11 .00  2.47 .00  2.09 .00  0	    
   116.    46916.24   7.15 .00  4.60 .00  3.03 .00  2.41 .00  2.01 .00  1        
   117.    46917.22   7.19 .00  4.63 .00  3.04 .00  2.42 .00  2.02 .00  1        
   118.    46918.22   7.20 .00  4.65 .00  3.04 .00  2.42 .00  2.04 .00  1        
   119.    46919.21   7.17 .00  4.62 .00  3.03 .00  2.38 .00  1.99 .00  1        
   123.    46923.22   7.09 .00  4.57 .00  3.00 .00  2.32 .00  1.96 .00  1        
   124.    46924.25   7.08 .00  4.53 .00  2.96 .00  2.30 .00  1.92 .00  1        
   125.    46925.25   7.05 .00  4.53 .00  2.95 .00  2.28 .00  1.91 .00  1        
   130.    46930.29   7.04 .00  4.53 .00  2.96 .00  2.27 .00  1.92 .00  1        
   132.    46932.22   7.06 .00  4.53 .00  2.96 .00  2.28 .00  1.93 .00  1        
   134.    46934.21   7.06 .00  4.55 .00  2.97 .00  2.29 .00  1.91 .00  1        
   135.    46935.22   7.04 .00  4.54 .00  2.96 .00  2.29 .00  1.91 .00  1        
   136.    46936.21   7.06 .00  4.54 .00  2.97 .00  2.28 .00  1.91 .00  1        
   141.    46941.21   7.06 .00  4.54 .00  2.98 .00  2.30 .00  1.93 .00  1        
   142.    46942.22   7.08 .00  4.57 .00  2.98 .00  2.30 .00  1.92 .00  1        
   143.    46943.19   7.12 .00  4.61 .00  3.02 .00  2.31 .00  1.92 .00  1        
   147.    46947.21   7.20 .00  4.70 .00  3.11 .00  2.39 .00  1.96 .00  1        
   149.    46949.20   7.27 .00  4.78 .00  3.15 .00  2.43 .00  2.01 .00  1        
   152.    46952.19   7.40 .00  4.91 .00  3.27 .00  2.50 .00  2.06 .00  1        
   154.    46954.19   7.51 .00  5.01 .00  3.35 .00  2.55 .00  2.13 .00  1        
   155.    46955.20   7.58 .00  5.07 .00  3.40 .00  2.59 .00  2.17 .00  1        
   159.    46959.20   7.81 .00  5.28 .00  3.59 .00  2.77 .00  2.32 .00  1        
   161.    46961.19   7.96 .00  5.43 .00  3.75 .00  2.85 .00  2.42 .00  1        
   162.    46962.19   7.98 .00  5.49 .00  3.78 .00  2.94 .00  2.50 .00  1        
   165.    46965.21   8.21 .00  5.67 .00  3.97 .00  3.06 .00  2.57 .00  1        
   165.    46965.67   8.23 .00  5.71 .00  4.01 .00  3.11 .00  2.64 .00  1        
   166.    46966.20   8.26 .00  5.73 .00  4.04 .00  3.14 .00  2.68 .00  1        
   167.    46967.20   8.33 .00  5.79 .00  4.08 .00  3.18 .00  2.70 .00  1        
   168.    46968.19   8.39 .00  5.83 .00  4.14 .00  3.22 .00  2.74 .00  1        
   170.    46970.67   8.54 .00  5.91 .00  4.21 .00  3.31 .00  2.81 .00  1        
   172.    46972.21   8.53 .00  5.94 .00  4.26 .00  3.33 .00  2.84 .00  1        
   175.    46975.67   8.63 .00  6.01 .00  4.31 .00  3.38 .00  2.86 .00  1        
   178.    46978.19   8.64 .00  6.05 .00  4.36 .00  3.41 .00  2.91 .00  1        
   180.    46980.21   8.65 .00  6.07 .00  4.36 .00  3.42 .00  2.92 .00  1        
   181.    46981.20   8.65 .00  6.08 .00  4.40 .00  3.44 .00  2.95 .00  1        
   182.    46982.21   8.67 .00  6.09 .00  4.40 .00  3.46 .00  2.95 .00  1        
   183.    46983.20   8.63 .00  6.09 .00  4.40 .00  3.45 .00  2.96 .00  1        
   184.    46984.67   8.71 .00  6.11 .00  4.42 .00  3.48 .00  2.98 .00  1        
   185.    46985.68   8.70 .00  6.11 .00  4.44 .00  3.49 .00  2.99 .00  1        
   186.    46986.69   8.70 .00  6.12 .00  4.45 .00  3.50 .00  2.99 .00  1        
   189.    46989.66   8.66 .00  6.12 .00  4.45 .00  3.50 .00  3.02 .00  1        
   190.    46990.60   8.69 .00  6.15 .00  4.49 .00  3.53 .00  3.02 .00  1        
   191.    46991.68   8.69 .00  6.17 .00  4.51 .00  3.54 .00  3.03 .00  1        
   197.    46997.68   8.72 .00  6.23 .00  4.56 .00  3.60 .00  3.10 .00  1        
   198.    46998.66   8.71 .00  6.23 .00  4.58 .00  3.61 .00  3.10 .00  1        
   199.    46999.66   8.70 .00  6.24 .00  4.59 .00  3.61 .00  3.11 .00  1        
   200.    47000.60   8.72 .00  6.25 .00  4.60 .00  3.62 .00  3.11 .00  1        
   205.    47005.64   8.68 .00  6.28 .00  4.64 .00  3.66 .00  3.16 .00  1        
   206.    47006.64   8.71 .00  6.30 .00  4.66 .00  3.66 .00  3.17 .00  1        
   207.    47007.64   8.71 .00  6.30 .00  4.67 .00  3.68 .00  3.18 .00  1        
   209.    47009.64   8.72 .00  6.33 .00  4.70 .00  3.70 .00  3.18 .00  1        
   213.    47013.66   8.75 .00  6.35 .00  4.73 .00  3.73 .00  3.22 .00  1        
   214.    47014.67   8.72 .00  6.35 .00  4.73 .00  3.74 .00  3.23 .00  1        
   220.    47020.52   8.71 .00  6.40 .00  4.80 .00  3.77 .00  3.28 .00  1        
   221.    47021.57   8.71 .00  6.40 .00  4.80 .00  3.80 .00  3.28 .00  1        
   222.    47022.55   8.72 .00  6.41 .00  4.82 .00  3.80 .00  3.29 .00  1        
   223.    47023.66   8.72 .00  6.43 .00  4.82 .00  3.80 .00  3.29 .00  1        
   225.    47025.57   8.70 .00  6.42 .00  4.84 .00  3.83 .00  3.30 .00  1        
   227.    47027.66   8.74 .00  6.46 .00  4.86 .00  3.83 .00  3.33 .00  1        
   228.    47028.66   8.76 .00  6.48 .00  4.91 .00  3.87 .00  3.34 .00  1        
   231.    47031.62   8.73 .00  6.48 .00  4.91 .00  3.87 .00  3.35 .00  1        
   233.    47033.56   8.72 .00  6.49 .00  4.92 .00  3.89 .00  3.37 .00  1        
   233.    47033.56   8.70 .00  6.49 .00  4.93 .00  3.91 .00  3.37 .00  1        
   234.    47034.59   8.73 .00  6.50 .00  4.95 .00  3.90 .00  3.39 .00  1        
   240.    47040.65   8.71 .00  6.53 .00  4.98 .00  3.94 .00  3.44 .00  1        
   241.    47041.54   8.70 .00  6.53 .00  4.99 .00  3.94 .00  3.42 .00  1        
   243.    47043.49   8.71 .00  6.55 .00  5.00 .00  3.95 .00  3.45 .00  1        
   244.    47044.53   8.71 .00  6.57 .00  5.03 .00  3.97 .00  3.45 .00  1        
   245.    47045.47   8.69 .00  6.58 .00  5.03 .00  3.98 .00  3.46 .00  1        
   246.    47046.49   8.71 .00  6.59 .00  5.04 .00  3.98 .00  3.45 .00  1        
   247.    47047.53   8.71 .00  6.59 .00  5.06 .00  4.00 .00  3.46 .00  1        
   248.    47048.66   8.74 .00  6.62 .00  5.08 .00  4.02 .00  3.49 .00  1        
   249.    47049.55   8.72 .00  6.61 .00  5.07 .00  4.01 .00  3.37 .00  1        
   252.    47052.60   8.68 .00  6.63 .00  5.10 .00  4.04 .00  3.51 .00  1        
   254.    47054.62   8.68 .00  6.64 .00  5.13 .00  4.05 .00  3.54 .00  1        
   255.    47055.57   8.68 .00  6.66 .00  5.14 .00  4.07 .00  3.54 .00  1        
   255.    47055.57   8.69 .00  6.65 .00  5.13 .00  4.06 .00  3.53 .00  1        
   256.    47056.61   8.73 .00  6.66 .00  5.16 .00  4.08 .00  3.54 .00  1        
   263.    47063.62   8.69 .00  6.70 .00  5.20 .00  4.13 .00  3.59 .00  1        
   268.    47068.51   8.69 .00  6.73 .00  5.25 .00  4.15 .00  3.63 .00  1        
   270.    47070.49   8.66 .00  6.73 .00  5.26 .00  4.16 .00  3.66 .00  1        
   271.    47071.56   8.69 .00  6.76 .00  5.29 .00  4.19 .00  3.67 .00  1        
   272.    47072.61   8.69 .00  6.77 .00  5.30 .00  4.20 .00  3.67 .00  1        
   273.    47073.62   8.69 .00  6.78 .00  5.32 .00  4.21 .00  3.68 .00  1        
   274.    47074.51   8.68 .00  6.77 .00  5.32 .00  4.20 .00  3.66 .00  1        
   275.    47075.51   8.69 .00  6.78 .00  5.32 .00  4.22 .00  3.68 .00  1        
   277.    47077.41   8.69 .00  6.80 .00  5.35 .00  4.24 .00  3.69 .00  1        
   278.    47078.51   8.69 .00  6.82 .00  5.36 .00  4.25 .00  3.71 .00  1        
